Royalty Date,Title,ASIN/ISBN,Language,book_nick_name,Authors,Units Sold,Units Refunded,Net Units Sold,Marketplace,Royalty Type,Transaction Type,Royalty,Currency,Authors Count,Royalty USD,Royalty per Author (USD),BookType,Year Sold,Authors_Exploded
2018-09,La grammaire des langues bamilekes : cas du nufi,9781511920407,Nufi,nufi_grammaire,"Resulam, Shck Tchamna",1,0,1,CreateSpace UK,,Standard,7.75,GBP,2,10.347129506008011,5.173564753004006,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-09,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.65,USD,2,9.65,4.825,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-09,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.65,USD,2,9.65,4.825,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-09,Conversations de base en langue fe'efe'e: Basic Conversation in Fe'efe'e Language,9781530903887,Nufi,nufi_conv.base,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,6.0,USD,2,6.0,3.0,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-09,Conversations de base en langue fe'efe'e: Basic Conversation in Fe'efe'e Language,9781530903887,Nufi,nufi_conv.base,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,6.0,USD,2,6.0,3.0,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-09,Guide de conversation (phrasebook) en langue fe'efe'e (nufi) - part I: Trilingual Phrasebook : French-English-Nufi,9781523385584,Nufi,nufi_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,12.02,USD,2,12.02,6.01,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-09,Guide de conversation (phrasebook) en langue ewondo - part I: Trilingual Phrasebook : French-English-Ewondo,9781523314591,Ewondo,ewondo_phrasebook_guide_conversation_trilingue,"Claude Lionel Mvondo Edzoa, Shck Tchamna",1,0,1,CreateSpace US,,Standard,7.86,USD,3,7.86,2.62,Paper,2018,"['Claude Lionel Mvondo Edzoa', ' Shck Tchamna']"
2018-09,La grammaire des langues bamilekes : cas du nufi,9781511920407,Nufi,nufi_grammaire,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.88,USD,2,9.88,4.94,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,"Contes africains, contes bamilekés racontés en nufi et traduits en francais (Full Color): African's fairy tales",9781512166378,Nufi,nufi_contes_bamilekes,"Resulam, Shck Tchamna",1,0,1,CreateSpace DE,,Standard,6.43,EUR,2,7.502917152858809,3.7514585764294046,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,"Contes africains, contes bamilekés racontés en nufi et traduits en francais (Full Color): African's fairy tales",9781512166378,Nufi,nufi_contes_bamilekes,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,5.22,USD,2,5.22,2.61,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,"Contes africains, contes bamilekés racontés en nufi et traduits en francais (Full Color): African's fairy tales",9781512166378,Nufi,nufi_contes_bamilekes,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,5.22,USD,2,5.22,2.61,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace DE,,Standard,9.28,EUR,2,10.828471411901983,5.414235705950992,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,Guide de conversation (phrasebook) en langue fe'efe'e (nufi) - part I: Trilingual Phrasebook : French-English-Nufi,9781523385584,Nufi,nufi_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace DE,,Standard,11.51,EUR,2,13.430571761960326,6.715285880980163,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,"African tales, Bamiléké fairy tales, English-French version: Contes africains, contes bamilekes, Anglais-Francais",9781518704451,English-French,english-french_african_tales_bamiléké_fairy_tales,Shck Tchamna,1,0,1,CreateSpace DE,,Standard,4.79,EUR,2,5.58926487747958,2.79463243873979,Paper,2018,['Shck Tchamna']
2018-08,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace UK,,Standard,8.25,GBP,2,11.014686248331108,5.507343124165554,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,Guide de conversation (phrasebook) en langue fe'efe'e (nufi) - part I: Trilingual Phrasebook : French-English-Nufi,9781523385584,Nufi,nufi_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace UK,,Standard,7.99,GBP,2,10.667556742323098,5.333778371161549,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,Contes bamilekés racontés en medumba et traduits en français (Version Couleur): medumba fairy tales,9781519205971,Medumba,medumba_contes_bamilekés,"Shck Tchamna, Leopold Tchoumi",1,0,1,CreateSpace UK,,Standard,3.46,GBP,3,4.619492656875835,1.5398308856252783,Paper,2018,"['Shck Tchamna', ' Leopold Tchoumi']"
2018-08,La grammaire des langues bamilekes : cas du nufi,9781511920407,Nufi,nufi_grammaire,"Resulam, Shck Tchamna",1,0,1,CreateSpace UK,,Standard,7.75,GBP,2,10.347129506008011,5.173564753004006,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.65,USD,2,9.65,4.825,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.65,USD,2,9.65,4.825,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,Guide de conversation trilingue français-anglais-douala: French-Duala-English Phrasebook,9781535454360,Duala,duala_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,10.06,USD,2,10.06,5.03,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,Conversations de base en langue fe'efe'e: Basic Conversation in Fe'efe'e Language,9781530903887,Nufi,nufi_conv.base,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,6.0,USD,2,6.0,3.0,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-08,La grammaire des langues bamilekes : cas du nufi,9781511920407,Nufi,nufi_grammaire,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.88,USD,2,9.88,4.94,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-07,Contes bamilekés racontés en medumba et traduits en français (Black and White): medumba (Bangangte) Fairy tales,9781519171191,Medumba,medumba_contes_bamilekes_black_white,Leopold Tchoumi,1,0,1,CreateSpace UK,,Standard,4.35,GBP,2,5.807743658210947,2.9038718291054737,Paper,2018,['Leopold Tchoumi']
2018-07,"Contes africains, contes bamilekés racontés en nufi et traduits en francais (Full Color): African's fairy tales",9781512166378,Nufi,nufi_contes_bamilekes,"Resulam, Shck Tchamna",1,0,1,CreateSpace UK,,Standard,4.57,GBP,2,6.101468624833111,3.0507343124165556,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-07,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.65,USD,2,9.65,4.825,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-07,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.65,USD,2,9.65,4.825,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-07,Guide de conversation trilingue français-anglais-douala: French-Duala-English Phrasebook,9781535454360,Duala,duala_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,10.06,USD,2,10.06,5.03,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-06,Étude Comparative des Variantes Dialectales de L'unique Langue Bamiléké Part I: Comparative Study of the Bamileke dialects Part I,9781533014986,Nufi,bamileke_étude_comparative_mulb,Shck Tchamna,1,0,1,CreateSpace DE,,Standard,9.19,EUR,2,10.72345390898483,5.361726954492415,Paper,2018,['Shck Tchamna']
2018-06,Étude Comparative des Variantes Dialectales de L'unique Langue Bamiléké Part I: Comparative Study of the Bamileke dialects Part I,9781533014986,Nufi,bamileke_étude_comparative_mulb,Shck Tchamna,1,0,1,CreateSpace US,,Standard,9.58,USD,2,9.58,4.79,Paper,2018,['Shck Tchamna']
2018-06,"Contes africains, contes bamilékés racontés en nufi et traduits en français (Black and White): African's fairy tales",9781512310139,Nufi,nufi_contes_bamileke_black_white,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,5.64,USD,2,5.64,2.82,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-06,Conversations de base en langue fe'efe'e: Basic Conversation in Fe'efe'e Language,9781530903887,Nufi,nufi_conv.base,"Resulam, Shck Tchamna",1,0,1,CreateSpace DE,,Standard,5.53,EUR,2,6.4527421236872815,3.2263710618436408,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-06,La grammaire des langues bamilekes : cas du nufi,9781511920407,Nufi,nufi_grammaire,"Resulam, Shck Tchamna",1,0,1,CreateSpace DE,,Standard,9.4,EUR,2,10.968494749124854,5.484247374562427,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-06,Conversations de base en langue fe'efe'e: Basic Conversation in Fe'efe'e Language,9781530903887,Nufi,nufi_conv.base,"Resulam, Shck Tchamna",1,0,1,CreateSpace UK,,Standard,4.49,GBP,2,5.994659546061416,2.997329773030708,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-06,Guide de conversation (phrasebook) en langue ewondo - part I: Trilingual Phrasebook : French-English-Ewondo,9781523314591,Ewondo,ewondo_phrasebook_guide_conversation_trilingue,"Claude Lionel Mvondo Edzoa, Shck Tchamna",1,0,1,CreateSpace UK,,Standard,5.84,GBP,3,7.797062750333779,2.5990209167779263,Paper,2018,"['Claude Lionel Mvondo Edzoa', ' Shck Tchamna']"
2018-06,La grammaire des langues bamilekes : cas du nufi,9781511920407,Nufi,nufi_grammaire,"Resulam, Shck Tchamna",1,0,1,CreateSpace UK,,Standard,7.75,GBP,2,10.347129506008011,5.173564753004006,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-06,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.65,USD,2,9.65,4.825,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-06,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.65,USD,2,9.65,4.825,Paper,2018,"['Resulam', ' Shck Tchamna']"
